"COUNTRY","NR_PUB"
"China","66"
"United States","37"
"Italy","19"
"United Kingdom","18"
"Germany","16"
"India","12"
"Brazil","9"
"Netherlands","9"
"France","8"
"Spain","8"
"Canada","7"
"Hong Kong","7"
"Poland","7"
"Ukraine","7"
"Morocco","6"
"Russian Federation","6"
"Turkey","6"
"Iran","5"
"Belgium","4"
"Czech Republic","4"
"Egypt","4"
"Saudi Arabia","4"
"South Korea","4"
"Australia","3"
"Colombia","3"
"Denmark","3"
"Greece","3"
"Malaysia","3"
"Serbia","3"
"Taiwan","3"
"United Arab Emirates","3"
"Ecuador","2"
"Japan","2"
"Latvia","2"
"Mexico","2"
"Nigeria","2"
"Pakistan","2"
"Peru","2"
"Philippines","2"
"Portugal","2"
"South Africa","2"
"Sweden","2"
"Viet Nam","2"
"Argentina","1"
"Austria","1"
"Azerbaijan","1"
"Bahrain","1"
"Benin","1"
"Bolivia","1"
"Bulgaria","1"
"Chile","1"
"Croatia","1"
"Ethiopia","1"
"Federated States of Micronesia","1"
"Finland","1"
"Georgia","1"
"Indonesia","1"
"Iraq","1"
"Ireland","1"
"Jordan","1"
"Kazakhstan","1"
"Kenya","1"
"Kuwait","1"
"Kyrgyzstan","1"
"Lithuania","1"
"New Zealand","1"
"Norway","1"
"Oman","1"
"Palestine","1"
"Qatar","1"
"Romania","1"
"Thailand","1"
"Zimbabwe","1"
"Undefined","6"
