"SUBJECT AREA","NR"
"Computer Science","86"
"Engineering","59"
"Social Sciences","56"
"Medicine","33"
"Mathematics","23"
"Business, Management and Accounting","22"
"Agricultural and Biological Sciences","16"
"Environmental Science","16"
"Physics and Astronomy","16"
"Economics, Econometrics and Finance","14"
"Arts and Humanities","11"
"Biochemistry, Genetics and Molecular Biology","11"
"Earth and Planetary Sciences","11"
"Materials Science","11"
"Decision Sciences","9"
"Multidisciplinary","7"
"Chemical Engineering","6"
"Chemistry","5"
"Energy","5"
"Health Professions","5"
"Neuroscience","3"
"Nursing","3"
"Pharmacology, Toxicology and Pharmaceutics","3"
"Psychology","3"
"Veterinary","2"
"Immunology and Microbiology","1"
"Undefined","1"
